time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-25T22:25:31.890Z,19.4048328,-155.2558289,0.5,2.97,ml,23,62,0.008165,0.21,hv,hv70320626,2018-06-25T23:16:02.561Z,"3km SSW of Volcano, Hawaii",earthquake,0.26,0.3,2.99,29,automatic,hv,hv
2018-06-25T22:23:58.330Z,19.4178333,-155.2754974,0.92,2.86,ml,46,32,0.007166,0.24,hv,hv70320621,2018-06-25T22:29:42.910Z,"4km WSW of Volcano, Hawaii",earthquake,0.28,0.2,3.22,32,automatic,hv,hv
2018-06-25T22:19:30.650Z,19.4155006,-155.2523346,-1.04,2.49,ml,8,262,0.02149,0.35,hv,hv70320596,2018-06-25T23:52:41.961Z,"2km SW of Volcano, Hawaii",earthquake,0.87,1.17,0.36,13,automatic,hv,hv
2018-06-25T22:16:41.100Z,19.4008331,-155.2498322,0.54,2.71,ml,27,57,0.01531,0.36,hv,hv70320586,2018-06-25T23:55:00.593Z,"3km SSW of Volcano, Hawaii",earthquake,0.32,0.35,2.2,15,automatic,hv,hv
2018-06-25T22:11:24.980Z,19.4173336,-155.2774963,-0.16,3.1,ml,31,46,0.006238,0.37,hv,hv70320566,2018-06-25T23:09:52.413Z,"4km WSW of Volcano, Hawaii",earthquake,0.2,0.2,3.04,28,automatic,hv,hv
2018-06-25T22:09:40.690Z,19.4221668,-155.2733307,0.53,2.91,ml,25,48,0.00477,0.14,hv,hv70320561,2018-06-25T23:55:53.857Z,"3km WSW of Volcano, Hawaii",earthquake,0.17,0.11,2.52,29,automatic,hv,hv
2018-06-25T22:08:20.180Z,19.4169998,-155.2855072,0.27,2.62,ml,37,36,0.001485,0.32,hv,hv70320556,2018-06-25T23:52:26.205Z,"5km WSW of Volcano, Hawaii",earthquake,0.25,0.15,2.7,24,automatic,hv,hv
2018-06-25T22:07:16.500Z,19.3981667,-155.2693329,1.19,2.61,ml,29,51,0.003117,0.15,hv,hv70320546,2018-06-25T23:58:06.331Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.26,0.39,14,automatic,hv,hv
2018-06-25T22:07:14.690Z,19.3378334,-155.135498,3.74,2.96,ml,8,238,0.08357,0.08,hv,hv70320551,2018-06-25T22:13:08.500Z,"14km SE of Volcano, Hawaii",earthquake,2.47,12.88,0.37,14,automatic,hv,hv
2018-06-25T22:02:19.940Z,19.5109997,-155.3018341,13.53,2.58,ml,13,310,0.05641,0.32,hv,hv70320531,2018-06-25T22:08:05.290Z,"11km NW of Volcano, Hawaii",earthquake,2.43,2.48,0.36,13,automatic,hv,hv
